"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"11/30/2019 12 a.m. EST",398553,391468,385120,309
US48,"11/30/2019 1 a.m. EST",385816,376022,376852,957
US48,"11/30/2019 2 a.m. EST",373190,364498,365541,-13
US48,"11/30/2019 3 a.m. EST",365511,357066,357526,625
US48,"11/30/2019 4 a.m. EST",360468,353222,353250,98
US48,"11/30/2019 5 a.m. EST",359474,353802,352536,-981
US48,"11/30/2019 6 a.m. EST",362775,359106,358850,-952
US48,"11/30/2019 7 a.m. EST",371918,368845,368155,-771
US48,"11/30/2019 8 a.m. EST",384421,381374,380682,-758
US48,"11/30/2019 9 a.m. EST",397907,394209,391956,-1139
US48,"11/30/2019 10 a.m. EST",410352,404778,403966,-761
US48,"11/30/2019 11 a.m. EST",418104,411200,411452,-577
US48,"11/30/2019 12 p.m. EST",421173,412770,414119,-552
US48,"11/30/2019 1 p.m. EST",422047,410791,415592,-644
US48,"11/30/2019 2 p.m. EST",420373,408841,414317,-685
US48,"11/30/2019 3 p.m. EST",418661,408234,412993,-787
US48,"11/30/2019 4 p.m. EST",419419,410554,414542,-1280
US48,"11/30/2019 5 p.m. EST",424130,417957,421088,-1453
US48,"11/30/2019 6 p.m. EST",434229,425741,427215,-1410
US48,"11/30/2019 7 p.m. EST",442102,429704,431446,-1415
US48,"11/30/2019 8 p.m. EST",444170,428613,434405,-1196
US48,"11/30/2019 9 p.m. EST",440926,425273,428395,-1043
US48,"11/30/2019 10 p.m. EST",432023,415381,419573,-1085
US48,"11/30/2019 11 p.m. EST",418878,401245,406379,-1017
US48,"12/1/2019 12 a.m. EST",403416,386758,393400,-1115
US48,"12/1/2019 1 a.m. EST",386138,371746,376077,-354
US48,"12/1/2019 2 a.m. EST",373418,360498,364085,-761
US48,"12/1/2019 3 a.m. EST",364980,352311,355761,-827
US48,"12/1/2019 4 a.m. EST",359409,344523,351532,-786
US48,"12/1/2019 5 a.m. EST",357536,344383,350764,-983
US48,"12/1/2019 6 a.m. EST",360056,349183,353291,-1215
US48,"12/1/2019 7 a.m. EST",366932,357685,361835,-1764
US48,"12/1/2019 8 a.m. EST",378287,370685,373634,-1559
US48,"12/1/2019 9 a.m. EST",392301,385143,387163,-2108
US48,"12/1/2019 10 a.m. EST",406833,396536,400886,-1886
US48,"12/1/2019 11 a.m. EST",416642,402036,411922,-947
US48,"12/1/2019 12 p.m. EST",422041,403558,418048,-580
US48,"12/1/2019 1 p.m. EST",425195,403560,419618,-528
US48,"12/1/2019 2 p.m. EST",425594,402430,418223,-852
US48,"12/1/2019 3 p.m. EST",424458,402571,419649,-592
US48,"12/1/2019 4 p.m. EST",441094,404505,420325,-273
US48,"12/1/2019 5 p.m. EST",430393,413152,430950,1364
US48,"12/1/2019 6 p.m. EST",444720,424593,440691,1780
US48,"12/1/2019 7 p.m. EST",458790,435615,451700,962
US48,"12/1/2019 8 p.m. EST",465335,440023,456430,1186
US48,"12/1/2019 9 p.m. EST",464104,439430,452117,584
US48,"12/1/2019 10 p.m. EST",454020,429921,440986,407
US48,"12/1/2019 11 p.m. EST",437126,415007,424918,-61
US48,"12/2/2019 12 a.m. EST",418240,398073,406068,-183
US48,"12/2/2019 1 a.m. EST",401658,384371,391725,-1146
US48,"12/2/2019 2 a.m. EST",390470,376594,381704,-1702
US48,"12/2/2019 3 a.m. EST",384561,371073,375558,-1696
US48,"12/2/2019 4 a.m. EST",383081,375982,375867,-1253
US48,"12/2/2019 5 a.m. EST",387694,385895,384181,-1513
US48,"12/2/2019 6 a.m. EST",403317,407480,402695,-1314
US48,"12/2/2019 7 a.m. EST",434416,436266,432245,-1530
US48,"12/2/2019 8 a.m. EST",465005,462212,458696,-2050
US48,"12/2/2019 9 a.m. EST",481207,474413,473379,-2184
US48,"12/2/2019 10 a.m. EST",487741,479879,480053,-1075
US48,"12/2/2019 11 a.m. EST",487461,479420,479224,-691
US48,"12/2/2019 12 p.m. EST",482615,474443,475376,-481
US48,"12/2/2019 1 p.m. EST",477201,468060,469669,-719
US48,"12/2/2019 2 p.m. EST",472149,462291,464362,-1203
US48,"12/2/2019 3 p.m. EST",468238,458159,459689,-1600
US48,"12/2/2019 4 p.m. EST",466735,457131,460613,-1465
US48,"12/2/2019 5 p.m. EST",472145,464525,468505,-1001
US48,"12/2/2019 6 p.m. EST",487285,476925,479150,-1622
US48,"12/2/2019 7 p.m. EST",503016,489800,491955,-1435
US48,"12/2/2019 8 p.m. EST",510070,494601,499722,-1101
US48,"12/2/2019 9 p.m. EST",508724,492394,494183,-1305
US48,"12/2/2019 10 p.m. EST",497347,480388,481110,-1918
US48,"12/2/2019 11 p.m. EST",477994,462032,464044,-1521
US48,"12/3/2019 12 a.m. EST",456016,442589,435165,-1329
US48,"12/3/2019 1 a.m. EST",438271,426799,426929,-1427
US48,"12/3/2019 2 a.m. EST",426829,415687,415976,-2321
US48,"12/3/2019 3 a.m. EST",419365,409109,410284,-1721
US48,"12/3/2019 4 a.m. EST",417490,408656,410940,-180
US48,"12/3/2019 5 a.m. EST",422093,417486,417296,-93
US48,"12/3/2019 6 a.m. EST",436449,437665,436235,-346
US48,"12/3/2019 7 a.m. EST",465984,465782,463616,-599
US48,"12/3/2019 8 a.m. EST",491977,488566,485256,129
US48,"12/3/2019 9 a.m. EST",500267,494980,491142,177
US48,"12/3/2019 10 a.m. EST",497222,491792,486733,-1332
US48,"12/3/2019 11 a.m. EST",489092,483669,479247,-36
US48,"12/3/2019 12 p.m. EST",478027,473511,468713,-210
US48,"12/3/2019 1 p.m. EST",468292,463464,459401,-356
US48,"12/3/2019 2 p.m. EST",461968,455720,453463,41
US48,"12/3/2019 3 p.m. EST",457001,450933,449008,-285
US48,"12/3/2019 4 p.m. EST",456342,450699,450941,-198
US48,"12/3/2019 5 p.m. EST",463308,458362,460129,-183
US48,"12/3/2019 6 p.m. EST",479864,472233,472138,-625
US48,"12/3/2019 7 p.m. EST",494779,484470,486403,1165
US48,"12/3/2019 8 p.m. EST",501798,490151,490363,-922
US48,"12/3/2019 9 p.m. EST",500959,488756,487089,-837
US48,"12/3/2019 10 p.m. EST",489776,476973,473515,-961
US48,"12/3/2019 11 p.m. EST",471286,458261,456543,-925
US48,"12/4/2019 12 a.m. EST",451204,438433,437361,-1038
US48,"12/4/2019 1 a.m. EST",433393,420829,421448,-1117
US48,"12/4/2019 2 a.m. EST",418709,410419,408083,-1073
US48,"12/4/2019 3 a.m. EST",411069,403843,398277,-785
US48,"12/4/2019 4 a.m. EST",408299,402553,398298,-317
US48,"12/4/2019 5 a.m. EST",410948,410217,402099,-594
US48,"12/4/2019 6 a.m. EST",424910,429655,421192,-1028
US48,"12/4/2019 7 a.m. EST",456971,456642,452208,-532
US48,"12/4/2019 8 a.m. EST",484688,477901,474289,-946
US48,"12/4/2019 9 a.m. EST",492134,482886,479914,-1363
US48,"12/4/2019 10 a.m. EST",486042,479182,473253,-1717
US48,"12/4/2019 11 a.m. EST",476593,471990,461937,-1652
US48,"12/4/2019 12 p.m. EST",466594,463434,451618,-1777
US48,"12/4/2019 1 p.m. EST",457565,455732,443234,-2257
